Order Date,Order No.,Sale,RT,RTO,Net Sale,Commission,Logistics,TCS,TDS,Settled Amount,Total,SPF,Net Receivable,Remarks,Ageing(Days),Slab
2025-07-09,8558899602,430.0,0.0,0.0,430.0,40.592,31.86,2.048,0.41,355.09,430.0,0.0,0.0,Fully Paid,78,>60
2025-07-29,8588989974,336.0,0.0,0.0,336.0,,,,,,0.0,0.0,336.0,Pending Payment,58,30-60
2025-07-13,8565306635,1102.0,0.0,0.0,1102.0,247.068,53.1,4.92,0.984,795.928,1102.0,0.0,0.0,Fully Paid,74,>60
2025-07-02,8548539063,905.0,0.0,0.0,905.0,149.506,51.92,4.31,0.862,698.402,904.9999999999999,0.0,1.1368683772161603e-13,Fully Paid,85,>60
2025-07-18,8573170665,493.0,0.0,0.0,493.0,,,,,,0.0,0.0,493.0,Pending Payment,69,>60
2025-07-15,8568767093,380.0,380.0,0.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,72,>60
2025-07-15,8568501485,388.0,0.0,388.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,72,>60
2025-07-26,8583964618,336.0,0.0,0.0,336.0,,,,,,0.0,0.0,336.0,Pending Payment,61,>60
2025-07-24,8581164924,1328.0,0.0,0.0,1328.0,,,,,,0.0,0.0,1328.0,Pending Payment,63,>60
2025-07-24,8581221375,885.0,0.0,0.0,885.0,,,,,,0.0,0.0,885.0,Pending Payment,63,>60
2025-07-20,8575748827,332.0,0.0,0.0,332.0,,,,,,0.0,0.0,332.0,Pending Payment,67,>60
2025-07-06,8554742556,493.0,0.0,493.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,81,>60
2025-07-22,8578794151,300.0,0.0,0.0,300.0,,,,,,0.0,0.0,300.0,Pending Payment,65,>60
2025-07-17,8572121348,1102.0,1102.0,0.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,70,>60
2025-06-30,8545795179,705.0,0.0,0.0,705.0,,,,,,0.0,0.0,705.0,Pending Payment,87,>60
2025-07-05,8553813269,336.0,0.0,0.0,336.0,23.789,31.86,1.6,0.32,278.431,336.0,0.0,0.0,Fully Paid,82,>60
2025-07-09,8558626875,861.0,0.0,861.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,78,>60
2025-07-09,8559741605,689.0,689.0,0.0,0.0,-0.0,164.02,-0.0,-0.0,1259.04,1423.06,0.0,-1423.06,Partially Settled,78,>60
2025-07-02,8548364459,436.0,0.0,0.0,436.0,30.869000000000003,51.92,2.076,0.415,350.72,436.0000000000001,0.0,-1.1368683772161603e-13,Fully Paid,85,>60
2025-07-02,8549413305,893.0,893.0,0.0,0.0,-0.0,184.07999999999998,-0.0,-0.0,1560.9880000000003,1745.0680000000002,0.0,-1745.0680000000002,Partially Settled,85,>60
2025-07-10,8560446256,569.0,0.0,0.0,569.0,100.71200000000002,31.86,2.709,0.542,433.167,568.99,0.0,0.009999999999990905,Fully Paid,77,>60
2025-07-21,8577153083,885.0,0.0,0.0,885.0,,,,,,0.0,0.0,885.0,Pending Payment,66,>60
2025-07-10,8560908195,787.0,0.0,0.0,787.0,130.012,31.86,3.748,0.75,620.63,787.0000000000001,0.0,-1.1368683772161603e-13,Fully Paid,77,>60
2025-07-20,8576085148,493.0,493.0,0.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,67,>60
2025-07-19,8574867299,332.0,0.0,0.0,332.0,,,,,,0.0,0.0,332.0,Pending Payment,68,>60
2025-07-19,8574993827,284.0,0.0,284.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,68,>60
2025-07-16,8570609008,689.0,0.0,0.0,689.0,,,,,,0.0,0.0,689.0,Pending Payment,71,>60
2025-07-08,8558150304,861.0,0.0,0.0,861.0,152.397,31.86,4.1,0.82,671.823,861.0000000000001,0.0,-1.1368683772161603e-13,Fully Paid,79,>60
2025-07-06,8555276959,332.0,332.0,0.0,0.0,-0.0,228.92000000000002,-0.0,-0.0,762.7239999999999,991.644,0.0,-991.644,Partially Settled,81,>60
2025-07-28,8587403679,284.0,0.0,0.0,284.0,,,,,,0.0,0.0,284.0,Pending Payment,59,30-60
2025-07-25,8582651027,332.0,0.0,332.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,62,>60
2025-07-15,8568264720,1102.0,0.0,0.0,1102.0,,,,,,0.0,0.0,1102.0,Pending Payment,72,>60
2025-07-22,8579220019,300.0,0.0,0.0,300.0,,,,,,0.0,0.0,300.0,Pending Payment,65,>60
2025-07-05,8553739324,336.0,0.0,0.0,336.0,23.789,31.86,1.6,0.3199999999999999,278.431,336.0,0.0,0.0,Fully Paid,82,>60
2025-07-19,8574346927,885.0,885.0,0.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,68,>60
2025-07-19,8574229238,861.0,0.0,0.0,861.0,,,,,,0.0,0.0,861.0,Pending Payment,68,>60
2025-07-20,8576641428,436.0,0.0,0.0,436.0,,,,,,0.0,0.0,436.0,Pending Payment,67,>60
2025-07-06,8554586748,336.0,0.0,336.0,0.0,,,,,,0.0,0.0,0.0,Fully Paid,81,>60
2025-07-08,8557798080,1102.0,0.0,0.0,1102.0,247.068,53.1,4.92,0.984,795.928,1102.0,0.0,0.0,Fully Paid,79,>60
