order_id,order_date,sku,sub-category,quantity,order_status,settlement_date,mrp,discount,net_realized_sale,igst,cgst,sgst,tcs,tds,commission,shipping_fee,fixed_fee,pick_and_pack_fee,payment_gateway_fee,tax_on_logistics,zone,actual_settlement,tax_on_commissions,_merge,payment_status,final_settlement,returned_quantity,net_delivered_quantity
8570795510,2025-07-16,102360960,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8552716623,2025-07-04,78683176,Trousers,1,delivered,2025-07-24,799.0,-304.0,436.0,20.76,0.0,0.0,-2.076,-0.415,-26.160169491525426,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,370.78,-4.708830508474577,both,settled,370.78,,
8574584421,2025-07-19,78683140,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8580201071,2025-07-23,113444744,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8560905187,2025-07-10,78683186,Trousers,1,delivered,2025-07-29,799.0,-304.0,436.0,20.76,0.0,0.0,-2.076,-0.415,-26.160169491525426,0.0,-27.0,0.0,0.0,-4.86,ZONAL,370.78,-4.708830508474577,both,settled,370.78,,
8563287025,2025-07-12,88024220,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8570809130,2025-07-16,110664983,Kurta Sets,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8571363862,2025-07-17,102957109,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8571669918,2025-07-17,78683190,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8584653300,2025-07-26,110665115,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8585061343,2025-07-26,110664679,Kurtis,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8586952543,2025-07-28,102957184,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8580502436,2025-07-23,78683166,Trousers,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8578680227,2025-07-22,78683224,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8584388821,2025-07-26,109852495,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8568478561,2025-07-15,113444761,Kurtas,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8571358587,2025-07-17,78683108,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8575621305,2025-07-20,107416062,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8578878323,2025-07-22,93103416,Kurta Sets,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8582517055,2025-07-25,110665098,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8561362330,2025-07-11,113444889,Kurtas,1,delivered,2025-07-30,2599.0,-1300.0,1128.0,120.86,0.0,0.0,-5.036,-1.007,-214.32033898305085,0.0,-45.0,0.0,0.0,-8.1,NATIONAL,815.959,-38.57766101694915,both,settled,815.959,,
8554723362,2025-07-06,110664964,Kurta Sets,1,delivered,2025-07-23,1999.0,-1020.0,861.0,41.0,0.0,0.0,-4.1,-0.82,-129.15,0.0,-27.0,0.0,0.0,-4.86,ZONAL,671.823,-23.247,both,settled,671.823,,
8566722235,2025-07-14,105018411,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8572754192,2025-07-18,102957103,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8580201077,2025-07-23,103849706,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8563454206,2025-07-12,87429560,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8564847742,2025-07-13,78683258,Trousers,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8568966250,2025-07-15,78683262,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8558322175,2025-07-08,78210890,Kurtas,1,returned,2025-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167.0,-27.0,0.0,0.0,-34.92,NATIONAL,949.9019999999999,0.0,both,settled,-228.92000000000002,1.0,0.0
8560899838,2025-07-10,113444615,Kurtas,1,delivered,2025-07-28,1999.0,-1000.0,905.0,0.0,21.55,21.55,-4.31,-0.862,-126.7,0.0,-27.0,0.0,0.0,-4.86,LOCAL,718.462,-22.806,both,settled,718.462,,
8579013962,2025-07-22,110664729,Kurtas,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8578751114,2025-07-22,107416346,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8576764980,2025-07-20,113444741,Kurtas,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8576786591,2025-07-21,78683208,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8583156742,2025-07-25,102957103,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8589292428,2025-07-29,102733536,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
