order_id,order_date,sku,sub-category,quantity,order_status,settlement_date,mrp,discount,net_realized_sale,igst,cgst,sgst,tcs,tds,commission,shipping_fee,fixed_fee,pick_and_pack_fee,payment_gateway_fee,tax_on_logistics,zone,actual_settlement,tax_on_commissions,_merge,payment_status,final_settlement,returned_quantity,net_delivered_quantity,igst_amt,cgst_amt,sgst_amt
8556494453.0,2025-07-07 00:00:00,110665098,Kurta Sets,1,delivered,2025-07-28,1999.0,-1020.0,861.0,41.0,0.0,0.0,-4.1,-0.82,-129.15,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,671.823,-23.247,both,settled,671.823,,,,,
8557371317.0,2025-07-08 00:00:00,102360654,Kurtas,1,delivered,2025-07-28,1999.0,-1020.0,885.0,42.14,0.0,0.0,-4.214,-0.843,-123.9,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,701.881,-22.302,both,settled,701.8809999999999,,,,,
8560038975.0,2025-07-10 00:00:00,78683166,Trousers,1,returned,2025-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167.0,-27.0,0.0,0.0,-34.92,NATIONAL,881.824,0.0,both,settled,-228.92000000000002,1.0,0.0,,,
8549199483.0,2025-07-02 00:00:00,78683192,Trousers,1,delivered,2025-07-21,799.0,-304.0,436.0,20.76,0.0,0.0,-2.076,-0.415,-26.160169491525426,0.0,-27.0,-17.0,0.0,-7.92,ZONAL,350.72,-4.708830508474577,both,settled,350.71999999999997,,,,,
8561033666.0,2025-07-11 00:00:00,107416493,Kurta Sets,1,delivered,2025-07-30,3999.0,-2040.0,1765.0,189.11,0.0,0.0,-7.88,-1.5759999999999998,-370.65169491525427,0.0,-45.0,0.0,0.0,-8.1,NATIONAL,1265.0849999999998,-66.71730508474576,both,settled,1265.075,,,,,
8545748707.0,2025-06-30 00:00:00,110664964,Kurta Sets,1,delivered,2025-07-21,1999.0,-1000.0,881.0,41.95,0.0,0.0,-4.195,-0.839,-132.15,0.0,-27.0,-23.0,0.0,-9.0,NATIONAL,661.029,-23.787,both,settled,661.0289999999999,,,,,
8550631302.0,2025-07-03 00:00:00,88315006,Palazzos,1,delivered,2025-07-23,999.0,-500.0,440.0,20.95,0.0,0.0,-2.095,-0.419,-35.2,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,364.09,-6.336,both,settled,364.0899999999999,,,,,
8558343209.0,2025-07-08 00:00:00,107416102,Kurtas,1,delivered,2025-07-28,1999.0,-1120.0,785.0000000000001,0.0,18.69,18.69,-3.738,-0.748,-109.89999999999999,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,618.972,-19.781999999999996,both,settled,618.972,,,,,
8558123733.0,2025-07-08 00:00:00,107416576,Kurta Sets,1,delivered,2025-07-25,1999.0,-1020.0,861.0,41.0,0.0,0.0,-4.1,-0.82,-129.15,0.0,-27.0,0.0,0.0,-4.86,ZONAL,671.823,-23.247,both,settled,671.823,,,,,
8558893675.0,2025-07-09 00:00:00,102360708,Kurtas,1,delivered,2025-07-28,1999.0,-1020.0,885.0,42.14,0.0,0.0,-4.214,-0.843,-123.9,0.0,-27.0,0.0,0.0,-4.86,ZONAL,701.881,-22.302,both,settled,701.8809999999999,,,,,
8545971193.0,2025-06-30 00:00:00,102360693,Kurtas,1,delivered,2025-07-16,2999.0,-1500.0,1328.0000000000002,0.0,71.14,71.14,-5.929,-1.186,-252.32033898305087,0.0,-45.0,-17.0,0.0,-11.16,LOCAL,949.987,-45.417661016949154,both,settled,949.9870000000001,,,,,
8546108409.0,2025-06-30 00:00:00,112528938,Kurtas,1,delivered,2025-07-18,1199.0,-600.0,505.0,24.05,0.0,0.0,-2.405,-0.481,-70.7,0.0,-27.0,-17.0,0.0,-7.92,ZONAL,366.768,-12.726,both,settled,366.76800000000003,,,,,
8557071311.0,2025-07-07 00:00:00,78683166,Trousers,1,returned,2025-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167.0,-27.0,0.0,0.0,-34.92,NATIONAL,881.824,0.0,both,settled,-228.92000000000002,1.0,0.0,,,
8557798468.0,2025-07-08 00:00:00,78210724,Kurtas,1,delivered,2025-07-28,1399.0,-812.0,493.0,23.48,0.0,0.0,-2.348,-0.47,-39.43983050847458,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,411.783,-7.099169491525424,both,settled,411.783,,,,,
8563349601.0,2025-07-12 00:00:00,77824672,Kurtas,1,returned,2025-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.0,-27.0,0.0,0.0,-25.02,ZONAL,1405.28,0.0,both,settled,-164.02,1.0,0.0,,,
8550064812.0,2025-07-03 00:00:00,78683188,Trousers,1,returned,2025-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.0,-27.0,0.0,0.0,-25.02,ZONAL,905.5799999999999,0.0,both,settled,-164.02,1.0,0.0,,,
8547607004.0,2025-07-01 00:00:00,77342848,Leggings,1,returned,2025-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.0,-27.0,-17.0,0.0,-28.08,ZONAL,692.162,0.0,both,settled,-184.07999999999998,1.0,0.0,,,
8553351716.0,2025-07-05 00:00:00,78683164,Trousers,1,returned,2025-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167.0,-27.0,0.0,0.0,-34.92,NATIONAL,881.824,0.0,both,settled,-228.92000000000002,1.0,0.0,,,
8559547277.0,2025-07-09 00:00:00,102108817,Kurtas,1,delivered,2025-07-28,1999.0,-1120.0,785.0,37.38,0.0,0.0,-3.738,-0.748,-109.89999999999999,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,618.972,-19.781999999999996,both,settled,618.9719999999999,,,,,
